popularity,vote_count_x,vote_average_x,release_date,original_language_x,genre_ids,belongs_to_collection,budget,production_companies,production_countries,revenue,day_of_week,month,quarter,en_int_lang,collection
11.119000000000002,608.0,6.2,2018-11-22,en,Comedy|Romance|,na,16000000.0,STX Entertainment,US,72282227.0,3,11,4,en,Collection
5.318,91.0,7.7,2018-06-29,hi,Drama|Comedy|,na,21918618.0,Rajkumar Hirani Films,IN,67414985.0,4,6,2,int,Collection
13.659,1533.0,5.8,2018-01-16,en,Drama|Action|History|War|,na,35000000.0,Torridon Films,US,67131266.0,1,1,1,en,Collection
15.495,1804.0,7.1,2018-12-25,en,Drama|Comedy|History|,na,60000000.0,Plan B Entertainment,US,66266401.0,1,12,4,en,Collection
13.71,1948.0,7.6,2018-08-24,en,Drama|Thriller|Mystery|,na,1000000.0,Stage 6 Films,US,66265218.0,4,8,3,en,Collection
11.714,581.0,8.3,2018-10-06,ar,Drama|,na,4000000.0,Boo Pictures,LB,64978931.0,5,10,4,int,Collection
15.992,2477.0,7.9,2018-03-23,en,Adventure|Animation|Comedy|,na,62770198.0,Studio Babelsberg,US,64207623.0,4,3,1,en,Collection
9.899,553.0,6.2,2018-05-10,en,Comedy|,na,30000000.0,On the Day,US,61700416.0,3,5,2,en,Collection
13.17,3730.0,8.1,2018-02-16,en,Drama|Comedy|Romance|,na,17000000.0,Temple Hill Entertainment,US,60848932.0,4,2,1,en,Collection
14.703,1272.0,6.0,2018-10-26,en,Adventure|Fantasy|Family|,na,120000000.0,Walt Disney Pictures,US,59522646.0,4,10,4,en,Collection
12.899000000000001,948.0,5.3,2018-02-02,en,Drama|History|Thriller|,na,30000000.0,Warner Bros. Pictures,US,57076286.0,4,2,1,en,Collection
15.969000000000001,2336.0,6.6,2018-08-29,en,Comedy|Crime|,na,20000000.0,Feigco Entertainment,CA,53542417.0,2,8,3,en,Collection
9.254,394.0,6.0,2018-01-26,en,Adventure|Animation|Comedy|Family|,na,50000000.0,Aardman Animations,FR,53431158.0,4,1,1,en,Collection
14.365,1309.0,6.4,2018-04-19,en,Comedy|,na,32000000.0,Wonderland Sound and Vision,CN,51748264.0,3,4,2,en,Collection
8.336,365.0,5.8,2018-05-05,en,Action|Thriller|Crime|,na,6000000.0,Will Packer Productions,US,49078000.0,5,5,2,en,Collection
11.298,1002.0,6.5,2018-09-06,en,Action|Thriller|,na,25000000.0,STX Entertainment,HK,48818723.0,3,9,3,en,Collection
14.745999999999999,4087.0,7.6,2018-07-30,en,Drama|History|Crime|,na,15000000.0,Blumhouse Productions,US,48686605.0,0,7,3,en,Collection
13.634,613.0,7.0,2018-05-12,fr,Adventure|Animation|Comedy|Family|,Asterix and Obelix (Animation) Collection,0.0,M6 Studio,FR,45631901.0,5,5,2,int,Collection
21.205,5176.0,6.3,2018-02-22,en,Horror|Science Fiction|,na,40000000.0,DNA Films,GB,43070915.0,3,2,1,en,Collection
17.427,1413.0,6.6,2018-11-01,en,Horror|Science Fiction|War|,na,38000000.0,Bad Robot,CA,41657844.0,3,11,4,en,Collection
5.667999999999999,38.0,7.1,2018-09-19,ko,Drama|Action|History|War|,na,13305000.0,Soojak Film,KR,41509280.0,2,9,3,int,Collection
13.552999999999999,1477.0,6.8,2018-07-25,en,Science Fiction|,na,34000000.0,21 Laps Entertainment,US,41142379.0,2,7,3,en,Collection
11.780999999999999,579.0,5.2,2018-11-29,en,Drama|Horror|,na,7700000.0,Screen Gems,US,41036181.0,3,11,4,en,Collection
1.617,25.0,5.6,2018-02-16,hi,Action|Thriller|,na,9150000.0,Friday Filmworks,IN,41000000.0,4,2,1,int,Collection
11.012,360.0,4.4,2018-12-25,en,Adventure|Comedy|Crime|Mystery|,na,42000000.0,Mosaic,US,40462793.0,1,12,4,en,Collection
6.897,134.0,7.8,2018-10-05,hi,Thriller|Crime|,na,4500000.0,Viacom 18 Motion Pictures,IN,40000000.0,4,10,4,int,Collection
3.821,56.0,7.5,2018-10-19,hi,Drama|Comedy|Romance|,na,4000000.0,Junglee Pictures,IN,39000000.0,4,10,4,int,Collection
8.547,113.0,5.9,2018-05-10,en,Adventure|Comedy|Crime|Family|,na,5500000.0,Riverstone Pictures,US,38830219.0,3,5,2,en,Collection
13.113,909.0,6.6,2018-12-07,en,Drama|History|,na,25000000.0,Focus Features,US,37807625.0,4,12,4,en,Collection
3.3339999999999996,17.0,5.1,2018-04-26,ru,Adventure|Action|War|,na,2179800.0,20th Century Fox Russia,RU,36837802.0,3,4,2,int,Collection
12.663,1371.0,6.0,2018-08-17,en,Adventure|Drama|,na,51000000.0,Studio 8,US,35808437.0,4,8,3,en,Collection
9.308,210.0,6.7,2018-03-30,en,Thriller|,na,20000000.0,Tyler Perry Studios,US,34764055.0,4,3,1,en,Collection
21.65,1408.0,5.9,2018-03-02,en,Drama|Action|Thriller|Crime|,na,30000000.0,Metro-Goldwyn-Mayer,US,34017028.0,4,3,1,en,Collection
12.817,1271.0,6.4,2018-08-02,en,Action|Comedy|,na,40000000.0,Imagine Entertainment,CA,33562069.0,3,8,3,en,Collection
11.205,953.0,6.0,2018-09-27,en,Comedy|,na,29000000.0,HartBeat Productions,US,33157615.0,3,9,3,en,Collection
16.373,1961.0,6.8,2018-10-04,en,Thriller|,na,32000000.0,20th Century Fox,US,31882724.0,3,10,4,en,Collection
12.272,761.0,5.4,2018-03-07,en,Horror|Thriller|,The Strangers Collection,12500000.0,Aviron Pictures,US,31039126.0,2,3,1,en,Collection
12.875,1192.0,6.2,2018-09-15,en,Fantasy|Family|,na,42000000.0,Amblin Entertainment,CA,29950000.0,5,9,3,en,Collection
2.635,22.0,6.1,2018-10-03,ko,Drama|Crime|,na,7120949.0,FILM295,KR,29433930.0,2,10,4,int,Collection
16.201,938.0,8.3,2018-10-19,en,Drama|Crime|,na,23000000.0,Temple Hill Entertainment,US,29163535.0,4,10,4,en,Collection
8.887,143.0,6.2,2018-10-31,en,Comedy|Romance|,na,19000000.0,Tyler Perry Studios,US,29152618.0,2,10,4,en,Collection
10.027000000000001,421.0,7.0,2018-07-27,en,Animation|Action|Comedy|Science Fiction|,na,10000000.0,Warner Bros. Animation,US,28646544.0,4,7,3,en,Collection
9.552999999999999,263.0,7.3,2018-07-20,ja,Fantasy|Animation|Family|,na,0.0,Studio Chizu,JP,27526961.0,4,7,3,int,Collection
11.404000000000002,538.0,5.7,2018-08-22,en,Action|Comedy|Crime|,na,40000000.0,STX Entertainment,CN,27506452.0,2,8,3,en,Collection
13.283,1947.0,7.7,2018-03-22,en,Drama|Romance|,na,0.0,Boies/Schiller Film Group,US,27365467.0,3,3,1,en,Collection
9.214,439.0,6.3,2018-09-14,en,Drama|Crime|,na,29000000.0,Studio 8,US,26000000.0,4,9,3,en,Collection
6.69,230.0,4.9,2018-10-03,fr,Comedy|,The New Adventures of Aladin Collection,18900000.0,Pathé!,FR,25498160.0,2,10,4,int,Collection
12.43,1017.0,5.8,2018-02-02,en,Fantasy|Horror|Thriller|Mystery|,na,3500000.0,Imagination Design Works,AU,25091816.0,4,2,1,en,Collection
7.742999999999999,47.0,7.5,2018-06-27,ko,Action|,Manyeo The Witch Collection,0.0,Peppermint&company,KR,24340302.0,2,6,2,int,Collection
1.8940000000000001,5.0,7.3,2018-06-13,ko,Comedy|Crime|,The Accidental Detective Collection,0.0,CJ Entertainment,KR,24243825.0,2,6,2,int,Collection
12.196,266.0,8.3,2018-06-08,en,Documentary|,na,0.0,Tremolo Productions,US,22835787.0,4,6,2,en,Collection
9.048,108.0,7.0,2018-03-23,en,History|,na,5000000.0,Outside Da Box,US,22525668.0,4,3,1,en,Collection
15.306,562.0,8.0,2018-10-12,en,Documentary|,na,0.0,National Geographic,US,21790193.0,4,10,4,en,Collection
9.076,287.0,5.5,2018-01-12,en,Action|Thriller|Crime|,na,14000000.0,Screen Gems,US,21753365.0,4,1,1,en,Collection
0.619,0.0,0.0,2018-06-15,en,Drama|Action|Thriller|Crime|,na,80000.0,Rahaman Studios,US,21000000.0,4,6,2,en,Collection
8.202,201.0,7.9,2018-12-17,en,History|Documentary|War|,na,0.0,Imperial War Museums,NZ,20904188.0,0,12,4,en,Collection
